t,x
0.436,-0.735805
0.437,-0.776237
0.438,-0.218817
0.439,-0.82717
0.44,-0.744716
0.441,-0.416776
0.442,-0.629353
0.443,-0.304665
0.444,-0.407473
0.445,-0.411552
0.446,-0.265254
0.447,-0.30852
0.448,-0.212029
0.449,-0.362522
0.45,-0.183533
0.451,-0.19599
0.452,-0.32335
0.453,-0.589858
0.454,-0.708283
0.455,-0.467666
0.456,-0.497018
0.457,-0.618699
0.458,-0.740979
0.459,-0.488044
0.46,-0.517843
0.461,-0.397506
0.462,-0.510369
0.463,-0.688608
0.464,-0.578906
0.465,-0.613294
0.466,-0.480701
0.467,-0.332447
0.468,-0.186171
0.469,-0.410714
0.47,-0.53058
0.471,-0.284477
0.472,-0.591134
0.473,-0.744229
0.474,-0.341326
0.475,-0.275575
0.476,-0.386735
0.477,-0.197274
0.478,-0.618417
0.479,-0.230865
0.48,-0.18809
0.481,-0.515102
0.482,-0.441839
0.483,-0.071597
0.484,-0.664944
0.485,-0.639957
0.486,-0.456762
0.487,-0.462442
0.488,-0.051326
0.489,-0.387148
0.49,-0.507084
0.491,-0.407634
0.492,-0.258644
0.493,-0.326596
0.494,-0.258817
0.495,0.006582
0.496,-0.527047
0.497,-0.237071
0.498,-0.046568
0.499,-0.290003
0.5,0.050866
0.501,-0.304661
0.502,-0.336778
0.503,-0.275571
0.504,-0.591449
0.505,-0.703923
0.506,-0.75139
0.507,-0.381282
0.508,-0.626641
0.509,-0.218396
0.51,-0.504482
0.511,-0.566396
0.512,-0.589879
0.513,-0.29411
0.514,-0.175249
0.515,-0.778578
0.516,-0.274161
0.517,-0.617353
0.518,-0.045155
0.519,-0.216048
0.52,-0.537604
0.521,-0.350373
0.522,-0.243265
0.523,-0.454035
0.524,-0.609519
0.525,-0.37144
0.526,-0.165098
0.527,-0.488592
0.528,-0.439105
0.529,-0.652503
0.53,-0.311357
0.531,-0.907761
0.532,-0.346546
0.533,-0.335327
0.534,-0.554582
0.535,-0.583082
0.536,-0.559257
0.537,-0.274014
0.538,-0.440242
0.539,-0.549749
0.54,-0.442433
0.541,-0.232278
0.542,-0.339296
0.543,-0.611188
0.544,-0.422314
0.545,-0.2478
0.546,-0.471246
0.547,-0.489656
0.548,-0.679488
0.549,-0.535989
0.55,-0.414461
0.551,-0.761086
