x,p,pconv
-2.6376376376376376,1.197175105128433e-42,3.212467943184331e-37
-2.6276276276276276,1.9747961997615567e-42,5.299115775862799e-37
-2.6176176176176176,3.2575184815376806e-42,8.741138745236258e-37
-2.6076076076076076,5.373428741072606e-42,1.4418916248537719e-36
-2.5975975975975976,8.863721449020163e-42,2.378467518269844e-36
-2.5875875875875876,1.462112213851305e-41,3.923393157955563e-36
-2.5775775775775776,2.4118223233757907e-41,6.471820091572975e-36
-2.5675675675675675,3.978413465415076e-41,1.0675569235970543e-35
-2.5575575575575575,6.562578656143338e-41,1.760984960944745e-35
-2.5475475475475475,1.08252797233015e-40,2.9048268660229847e-35
-2.5375375375375375,1.7856804044249014e-40,4.7916474636115035e-35
-2.5275275275275275,2.9455631524084507e-40,7.904046084154116e-35
-2.5175175175175175,4.858843868884098e-40,1.3038092842778709e-34
-2.5075075075075075,8.014889690240997e-40,2.1506942541455302e-34
-2.4974974974974975,1.3220934543320625e-39,3.547670530185308e-34
-2.4874874874874875,2.1808548458452363e-39,5.8520480846989125e-34
-2.4774774774774775,3.597421833579459e-39,9.653226390174204e-34
-2.4674674674674675,5.934115181195513e-39,1.5923447379662192e-33
-2.4574574574574575,9.788599895347042e-39,2.626646948951277e-33
-2.4474474474474475,1.6146752293386696e-38,4.3327767096759314e-33
-2.4374374374374375,2.663482136479184e-38,7.147117363224423e-33
-2.4274274274274275,4.393538070345699e-38,1.1789503596995879e-32
-2.4174174174174174,7.247346062960115e-38,1.9447336317543214e-32
-2.4074074074074074,1.1954835514187645e-37,3.2079288727983944e-32
-2.3973973973973974,1.9720059029844164e-37,5.29162836745429e-32
-2.3873873873873874,3.252915756800006e-37,8.728787915681051e-32
-2.3773773773773774,5.365836331840521e-37,1.4398542978858904e-31
-2.3673673673673674,8.8511974157068e-37,2.3751068523684127e-31
-2.3573573573573574,1.4600463161153161e-36,3.917849582732207e-31
-2.3473473473473474,2.40841452865917e-36,6.462675705561878e-31
-2.3373373373373374,3.97279214901183e-36,1.0660485144540222e-30
-2.3273273273273274,6.553306032428364e-36,1.7584967696763284e-30
-2.3173173173173174,1.080998409779482e-35,2.9007224784191217e-30
-2.3073073073073074,1.7831573196235077e-35,4.784877084735658e-30
-2.2972972972972974,2.9414012062936554e-35,7.892878028271816e-30
-2.2872872872872874,4.851978544558607e-35,1.3019670613465183e-29
