f,S
284,3.212735554684311e-05
284.666666666667,2.772458397157204e-05
285.333333333333,3.931862409103526e-05
286,7.647768929020749e-05
286.666666666667,1.942718102897597e-05
287.333333333333,2.82152849244123e-05
288,4.076061054298576e-05
288.666666666667,3.064546628294602e-05
289.333333333333,4.757218393208592e-05
290,2.515626501144146e-05
290.666666666667,4.149634838621923e-05
291.333333333333,3.065833256760183e-05
292,5.689720218160636e-05
292.666666666667,4.63585913608954e-05
293.333333333333,2.546008480413669e-05
294,3.550669347889019e-05
294.666666666667,4.010683777393873e-05
295.333333333333,4.485033071761737e-05
296,3.936991440815667e-05
296.666666666667,3.363058863281714e-05
297.333333333333,3.598410563713429e-05
298,2.70756456240819e-05
298.666666666667,3.257739131393205e-05
299.333333333333,5.366893144358763e-05
300,3.536911142309796e-05
300.666666666667,3.729050271618453e-05
301.333333333333,3.27575364912133e-05
302,4.451977073699466e-05
302.666666666667,3.285679823048472e-05
303.333333333333,3.439212480556813e-05
304,3.256390929900352e-05
304.666666666667,4.119176395947858e-05
305.333333333333,2.818488830071283e-05
306,2.439432437385366e-05
306.666666666667,4.09100644249691e-05
307.333333333333,3.639879146275426e-05
308,2.372766879728198e-05
308.666666666667,4.75922099448083e-05
309.333333333333,2.755206596919185e-05
310,4.387925919698373e-05
310.666666666667,3.649476404262563e-05
311.333333333333,4.132132466315104e-05
312,3.145391424073836e-05
312.666666666667,3.472845912094914e-05
313.333333333333,2.607466533704896e-05
314,3.271075884100134e-05
314.666666666667,3.374004272650397e-05
315.333333333333,3.344530627094303e-05
316,2.65887253486875e-05
316.666666666667,3.058587734603507e-05
317.333333333333,3.878210279393733e-05
318,3.620263878182538e-05
318.666666666667,3.104779417012107e-05
319.333333333333,2.418371739825682e-05
320,2.751248651879223e-05
320.666666666667,2.96175342538238e-05
321.333333333333,2.946287510267485e-05
322,2.735758631642716e-05
322.666666666667,4.105014375192549e-05
323.333333333333,2.238482821457092e-05
324,4.248021948748113e-05
324.666666666667,3.297373606303197e-05
325.333333333333,3.691903197427973e-05
326,3.531010946130214e-05
326.666666666667,2.947922328827218e-05
327.333333333333,2.374934393113844e-05
328,3.186591879569715e-05
328.666666666667,1.527060552524235e-05
329.333333333333,2.279704923090498e-05
330,2.880565222732906e-05
330.666666666667,3.047191740817094e-05
331.333333333333,3.840421944880224e-05
332,2.581170800826594e-05
332.666666666667,3.30384977315772e-05
333.333333333333,3.168820808334167e-05
334,4.074857548661052e-05
334.666666666667,3.668686495469313e-05
335.333333333333,4.73241312880172e-05
336,2.433734418379121e-05
336.666666666667,2.479353727455037e-05
337.333333333333,1.656083546110394e-05
338,2.861735490974213e-05
338.666666666667,2.984945912353916e-05
339.333333333333,3.080478543202991e-05
340,2.740155511381048e-05
340.666666666667,3.930335528786036e-05
341.333333333333,2.73707149305063e-05
342,3.427378887261168e-05
342.666666666667,3.025755112881306e-05
343.333333333333,3.703124338522525e-05
344,3.147671662066663e-05
344.666666666667,4.61538266080849e-05
345.333333333333,4.060989883216784e-05
346,3.262326689457675e-05
346.666666666667,2.784494246472954e-05
347.333333333333,3.169702896914256e-05
348,4.37208005021701e-05
348.666666666667,2.326150982438259e-05
349.333333333333,3.947259152733707e-05
350,1.855395013889297e-05
350.666666666667,4.959991422818977e-05
351.333333333333,2.84752573813381e-05
352,3.428523406158286e-05
352.666666666667,3.832268549481188e-05
353.333333333333,3.264444279744293e-05
354,3.78436792696248e-05
354.666666666667,3.4203339418312e-05
355.333333333333,3.317681179815727e-05
356,3.610810075627407e-05
356.666666666667,3.258858313705389e-05
357.333333333333,3.796146089310374e-05
358,2.476750464358124e-05
358.666666666667,1.746747498862752e-05
359.333333333333,4.006888978618111e-05
360,3.819883586016253e-05
360.666666666667,2.071914849127348e-05
361.333333333333,2.624397298270946e-05
362,2.905835353842168e-05
362.666666666667,2.839316268467541e-05
363.333333333333,3.595359672933182e-05
364,2.84756760673314e-05
364.666666666667,3.051481122387783e-05
365.333333333333,3.365040462651221e-05
366,3.154035907488093e-05
366.666666666667,3.130591770785878e-05
367.333333333333,3.193508193795658e-05
368,2.290179489515433e-05
368.666666666667,2.948382935131363e-05
369.333333333333,2.863011916529625e-05
370,3.570020781294674e-05
370.666666666667,1.934054761359505e-05
371.333333333333,2.56069020127421e-05
372,2.784686628207762e-05
372.666666666667,1.628354199040899e-05
373.333333333333,3.572871564612525e-05
374,2.551744440512806e-05
374.666666666667,4.356344330000768e-05
375.333333333333,2.648070273077716e-05
376,3.213923418145602e-05
376.666666666667,2.234882526846706e-05
377.333333333333,2.804865186307852e-05
378,2.704696295739759e-05
378.666666666667,3.577859074841154e-05
379.333333333333,3.064306836383375e-05
380,3.239692710765827e-05
380.666666666667,2.416965385295297e-05
381.333333333333,2.911134924121347e-05
382,2.635317174614646e-05
382.666666666667,4.333692021287876e-05
383.333333333333,2.762469155523122e-05
384,3.539946697277861e-05
384.666666666667,4.441336020548374e-05
385.333333333333,2.050295042234517e-05
386,3.746117704701902e-05
386.666666666667,1.959929680913637e-05
387.333333333333,2.796123534197602e-05
388,2.162724088592971e-05
388.666666666667,2.037012142779733e-05
389.333333333333,3.16859721742273e-05
390,2.177963508711899e-05
390.666666666667,1.76023202804791e-05
391.333333333333,3.821665096301775e-05
392,2.568755811666184e-05
392.666666666667,3.131833651701241e-05
