f,S
279.333333333333,3.703337929810342e-05
280.0,3.69743800339837e-05
280.666666666667,3.691542873811634e-05
281.333333333333,3.685652585151546e-05
282.0,3.679767181126695e-05
282.666666666667,3.673886705057931e-05
283.333333333333,3.66801119987802e-05
284.0,3.662140708132223e-05
284.666666666667,3.6562752719815826e-05
285.333333333333,3.650414933202622e-05
286.0,3.644559733189748e-05
286.666666666667,3.6387097129585214e-05
287.333333333333,3.6328649131436275e-05
288.0,3.627025374002176e-05
288.666666666667,3.621191135416106e-05
289.333333333333,3.6153622368928316e-05
290.0,3.609538717566785e-05
290.666666666667,3.60372061620096e-05
291.333333333333,3.59790797118674e-05
292.0,3.592100820549783e-05
292.666666666667,3.586299201948968e-05
293.333333333333,3.580503152675406e-05
294.0,3.5747127096583056e-05
294.666666666667,3.5689279094656765e-05
295.333333333333,3.563148788304208e-05
296.0,3.557375382020023e-05
296.666666666667,3.5516077261061843e-05
297.333333333333,3.5458458556950005e-05
298.0,3.540089805568897e-05
298.666666666667,3.534339610155289e-05
299.333333333333,3.5285953035332074e-05
300.0,3.5228569194290824e-05
300.666666666667,3.517124491224177e-05
301.333333333333,3.511398051952877e-05
302.0,3.505677634305965e-05
302.666666666667,3.4999632706289584e-05
303.333333333333,3.4942549929311024e-05
304.0,3.488552832875562e-05
304.666666666667,3.482856821793282e-05
305.333333333333,3.477166990677275e-05
306.0,3.471483370183482e-05
306.666666666667,3.4658059906380454e-05
307.333333333333,3.46013488203491e-05
308.0,3.454470074035884e-05
308.666666666667,3.448811595978657e-05
309.333333333333,3.443159476870482e-05
310.0,3.437513745397753e-05
310.666666666667,3.431874429920525e-05
311.333333333333,3.426241558479683e-05
312.0,3.4206151587938786e-05
312.666666666667,3.4149952582658696e-05
313.333333333333,3.4093818839802625e-05
314.0,3.403775062707499e-05
314.666666666667,3.3981748209047235e-05
315.333333333333,3.3925811847151325e-05
316.0,3.386994179977299e-05
316.666666666667,3.3814138322168354e-05
317.333333333333,3.3758401666534286e-05
318.0,3.370273208202477e-05
318.666666666667,3.3647129814774786e-05
319.333333333333,3.359159510786391e-05
320.0,3.353612820140835e-05
320.666666666667,3.3480729332517006e-05
321.333333333333,3.342539873533807e-05
322.0,3.337013664107536e-05
322.666666666667,3.331494327798242e-05
323.333333333333,3.325981887140868e-05
324.0,3.3204763643786195e-05
324.666666666667,3.314977781466829e-05
325.333333333333,3.309486160074577e-05
326.0,3.3040015215855914e-05
326.666666666667,3.2985238870984296e-05
327.333333333333,3.293053277429581e-05
328.0,3.287589713118697e-05
328.666666666667,3.2821332144215495e-05
329.333333333333,3.276683801319605e-05
330.0,3.2712414935187536e-05
330.666666666667,3.265806310450217e-05
331.333333333333,3.260378271272891e-05
332.0,3.254957394876373e-05
332.666666666667,3.2495436998790344e-05
333.333333333333,3.244137204633177e-05
334.0,3.2387379272238195e-05
334.666666666667,3.2333458854745104e-05
335.333333333333,3.2279610969440215e-05
336.0,3.2225835789293735e-05
336.666666666667,3.217213348470197e-05
337.333333333333,3.211850422347548e-05
338.0,3.2064948170855094e-05
338.666666666667,3.201146548953474e-05
339.333333333333,3.1958056339684106e-05
340.0,3.190472087896432e-05
340.666666666667,3.185145926252339e-05
341.333333333333,3.1798271643032323e-05
342.0,3.174515817068065e-05
342.666666666667,3.1692118993239105e-05
343.333333333333,3.163915425600808e-05
344.0,3.158626410188024e-05
344.666666666667,3.1533448671349305e-05
345.333333333333,3.148070810249902e-05
346.0,3.142804253106501e-05
346.666666666667,3.1375452090403955e-05
347.333333333333,3.1322936911535383e-05
348.0,3.127049712315697e-05
348.666666666667,3.121813285164027e-05
349.333333333333,3.116584422107209e-05
350.0,3.1113631353243704e-05
350.666666666667,3.106149436769842e-05
351.333333333333,3.1009433381701566e-05
352.0,3.0957448510307055e-05
352.666666666667,3.090553986632754e-05
353.333333333333,3.0853707560387746e-05
354.0,3.080195170090123e-05
354.666666666667,3.075027239411081e-05
355.333333333333,3.069866974410333e-05
356.0,3.0647143852818126e-05
356.666666666667,3.059569482005558e-05
357.333333333333,3.0544322743498164e-05
358.0,3.0493027718731327e-05
358.666666666667,3.0441809839245684e-05
359.333333333333,3.039066919646399e-05
360.0,3.0339605879743334e-05
360.666666666667,3.0288619976401945e-05
361.333333333333,3.0237711571727426e-05
362.0,3.0186880748985088e-05
362.666666666667,3.0136127589444466e-05
363.333333333333,3.0085452172387495e-05
364.0,3.003485457511672e-05
364.666666666667,2.9984334872981554e-05
365.333333333333,2.9933893139380382e-05
366.0,2.9883529445798508e-05
366.666666666667,2.983324386178633e-05
367.333333333333,2.9783036454985416e-05
368.0,2.9732907291171967e-05
368.666666666667,2.968285643423506e-05
369.333333333333,2.9632883946190675e-05
370.0,2.958298988722477e-05
370.666666666667,2.9533174315683463e-05
371.333333333333,2.948343728809835e-05
372.0,2.9433778859182692e-05
372.666666666667,2.9384199081862397e-05
373.333333333333,2.9334698007289393e-05
374.0,2.9285275684837838e-05
374.666666666667,2.9235932162140436e-05
375.333333333333,2.918666748507888e-05
376.0,2.9137481697825554e-05
376.666666666667,2.908837484282829e-05
377.333333333333,2.9039346960823696e-05
378.0,2.8990398090889604e-05
378.666666666667,2.8941528270407446e-05
379.333333333333,2.889273753510338e-05
380.0,2.8844025919066667e-05
380.666666666667,2.8795393454729214e-05
381.333333333333,2.8746840172922766e-05
382.0,2.8698366102863867e-05
382.666666666667,2.864997127216117e-05
383.333333333333,2.860165570685549e-05
384.0,2.8553419431399534e-05
384.666666666667,2.8505262468708547e-05
385.333333333333,2.8457184840118508e-05
386.0,2.8409186565463533e-05
386.666666666667,2.8361267663044857e-05
387.333333333333,2.8313428149643273e-05
388.0,2.8265668040558145e-05
388.666666666667,2.82179873495928e-05
389.333333333333,2.8170386089087946e-05
390.0,2.8122864269907218e-05
390.666666666667,2.807542190148092e-05
391.333333333333,2.802805899179154e-05
392.0,2.7980775547406663e-05
392.666666666667,2.7933571573469817e-05
393.333333333333,2.7886447073727946e-05
394.0,2.7839402050537867e-05
