t,x
0.47,-0.183004
0.471,-0.014639
0.472,0.112309
0.473,0.127122
0.474,0.277738
0.475,-0.257262
0.476,-0.052121
0.477,-0.287629
0.478,0.398888
0.479,0.162161
0.48,0.218503
0.481,-0.05766
0.482,-0.40534
0.483,-0.08901
0.484,-0.401345
0.485,-0.041638
0.486,-0.159064
0.487,-0.346593
0.488,0.018993
0.489,0.287022
0.49,0.11726
0.491,-0.178624
0.492,-0.286106
0.493,-0.094256
0.494,0.077187
0.495,-0.427548
0.496,0.165596
0.497,0.583819
0.498,0.293465
0.499,-0.12658
0.5,-0.038669
0.501,0.135937
0.502,0.186327
0.503,-0.161002
0.504,-0.265838
0.505,-0.094791
0.506,0.051393
0.507,0.454691
0.508,0.137204
0.509,0.23539
0.51,0.049603
0.511,0.197323
0.512,0.200727
0.513,0.469494
0.514,0.189193
0.515,-0.292303
0.516,-0.241235
0.517,0.11241
0.518,-0.117564
0.519,0.214301
0.52,0.049155
0.521,-0.341043
0.522,0.18095
0.523,-0.236614
0.524,0.16454
0.525,-0.262221
0.526,-0.226218
0.527,0.292873
0.528,0.070438
0.529,0.009029
0.53,0.173147
0.531,-0.264676
0.532,-0.32785
0.533,-0.166086
0.534,-0.226677
0.535,-0.007733
0.536,-0.137399
0.537,-0.19277
0.538,0.00401
0.539,0.111615
0.54,-0.167416
0.541,-0.368118
0.542,-0.080165
0.543,0.014852
0.544,0.034953
0.545,0.268497
0.546,0.055027
0.547,-0.155031
0.548,-0.059323
0.549,0.059741
0.55,-0.191864
0.551,-0.280512
0.552,-0.367349
0.553,-0.007861
0.554,0.105469
0.555,0.042944
0.556,0.105956
0.557,-0.025171
0.558,0.031933
0.559,0.040834
0.56,0.205878
0.561,0.328655
0.562,-0.199886
0.5630000000000001,-0.040176
0.5640000000000001,0.471294
0.5650000000000001,0.052399
0.5660000000000001,0.08678
0.5670000000000001,-0.187787
0.5680000000000001,0.047328
0.5690000000000001,-0.158496
0.5700000000000001,-0.090886
0.5710000000000001,0.001747
0.5720000000000001,0.00348
0.5730000000000001,0.154441
0.5740000000000001,-0.002051
0.5750000000000001,-0.031014
0.5760000000000001,-0.172394
0.5770000000000001,0.032245
0.5780000000000001,-0.171863
0.5790000000000001,-0.225837
0.5800000000000001,0.260622
0.5810000000000001,0.047386
0.5820000000000001,0.070711
0.5830000000000001,0.268794
0.5840000000000001,0.136779
0.5850000000000001,0.190806
0.5860000000000001,0.176238
0.5870000000000001,-0.118288
0.5880000000000001,-0.07487
0.5890000000000001,0.055514
0.5900000000000001,0.143384
0.5910000000000001,0.132915
0.5920000000000001,-0.025312
0.5930000000000001,-0.333825
0.5940000000000001,-0.15411
0.5950000000000001,-0.085009
0.5960000000000001,-0.230455
0.5970000000000001,-0.046786
0.5980000000000001,-0.118333
0.5990000000000001,-0.209205
0.6000000000000001,0.344968
0.6010000000000001,0.086965
0.6020000000000001,-0.239389
0.6030000000000001,-0.010451
0.6040000000000001,-0.273415
0.6050000000000001,-0.045695
0.6060000000000001,-0.555325
0.6070000000000001,0.070065
0.6080000000000001,-0.066102
0.6090000000000001,0.056627
0.6100000000000001,0.163297
0.6110000000000001,0.027477
0.6120000000000001,-0.092048
0.6130000000000001,0.021815
0.6140000000000001,-0.058876
0.6150000000000001,-0.11681
0.6160000000000001,-0.111405
0.6170000000000001,0.296113
0.6180000000000001,0.105498
0.6190000000000001,-0.107436
0.62,0.158217
0.621,-0.141601
0.622,0.025136
0.623,0.017749
0.624,0.047664
0.625,0.175611
0.626,0.203183
0.627,0.039363
0.628,0.117516
0.629,-0.373776
0.63,0.341446
0.631,-0.018268
0.632,-0.145653
0.633,0.085376
0.634,0.123944
0.635,-0.050382
0.636,-0.166842
0.637,0.104095
0.638,-0.265833
0.639,0.193494
0.64,-0.269447
0.641,0.022732
0.642,0.094187
0.643,0.270817
0.644,0.356671
0.645,-0.020202
0.646,-0.004144
0.647,-0.116189
0.648,-0.023498
0.649,-0.221555
0.65,0.268665
0.651,0.028584
0.652,0.027769
0.653,0.006801
0.654,0.051534
0.655,0.225867
0.656,-0.192758
0.657,0.181611
0.658,0.152301
0.659,-0.040281
0.66,-0.202907
0.661,-0.043115
0.662,-0.075195
0.663,0.208893
0.664,-0.252992
0.665,0.032279
0.666,0.185063
0.667,0.211317
0.668,-0.140303
0.669,-0.147495
0.67,-0.197652
0.671,-0.0587
0.672,0.158246
0.673,0.262504
0.674,-0.219075
0.675,0.096928
0.676,-0.056812
0.677,-0.059556
0.678,-0.004079
0.679,0.075064
0.68,0.126757
0.681,0.146648
0.682,0.190986
0.683,0.336284
0.684,0.092544
0.685,-0.142424
0.686,0.185073
0.687,-0.278868
0.6880000000000001,-0.083925
0.6890000000000001,-0.278111
0.6900000000000001,-0.11438
0.6910000000000001,-0.172128
0.6920000000000001,-0.149454
0.6930000000000001,0.104082
0.6940000000000001,-0.060227
0.6950000000000001,-0.49027
0.6960000000000001,-0.144976
