f,S
108.666666666667,3.740993511263866e-05
109.333333333333,3.749522722435593e-05
110,3.586899066664824e-05
110.666666666667,5.17922027136441e-05
111.333333333333,3.007998571360508e-05
112,6.19196049940778e-05
112.666666666667,4.602425835854558e-05
113.333333333333,6.823953258231704e-05
114,5.817119283122176e-05
114.666666666667,3.390963415398124e-05
115.333333333333,4.017375449837809e-05
116,4.758112916846709e-05
116.666666666667,5.707019981859161e-05
117.333333333333,5.312711285460296e-05
118,6.38112838516625e-05
118.666666666667,5.594849965063054e-05
119.333333333333,4.53151271995443e-05
120,4.551691134334308e-05
120.666666666667,4.290890762751314e-05
121.333333333333,5.097764046022658e-05
122,5.049692607030727e-05
122.666666666667,6.446716433659886e-05
123.333333333333,5.817602023880435e-05
124,5.23689060420925e-05
124.666666666667,5.828515864868467e-05
125.333333333333,5.76259497940187e-05
126,3.547887149912835e-05
126.666666666667,4.942442337335925e-05
127.333333333333,3.907654892417037e-05
128,3.74883768624566e-05
128.666666666667,4.489863632398394e-05
129.333333333333,3.897057933620313e-05
130,5.067805084051082e-05
130.666666666667,4.61619139787941e-05
131.333333333333,7.945504078322348e-05
132,7.016759854379772e-05
132.666666666667,3.503373469950487e-05
133.333333333333,5.009107556326883e-05
134,5.175510490533181e-05
134.666666666667,3.393175905862033e-05
135.333333333333,5.99175508873846e-05
136,4.513486582113607e-05
136.666666666667,4.729881469572484e-05
137.333333333333,6.338118414710798e-05
138,5.453818079976151e-05
138.666666666667,5.00652700128986e-05
139.333333333333,6.680856104616015e-05
140,5.999828032084998e-05
140.666666666667,4.832112049295106e-05
141.333333333333,4.96776701156579e-05
142,4.519956948049753e-05
142.666666666667,4.320049255871001e-05
143.333333333333,4.480151171671068e-05
144,5.139397900220285e-05
144.666666666667,4.95880518768823e-05
145.333333333333,6.671663714771611e-05
146,5.161652286364121e-05
146.666666666667,5.342902517734674e-05
147.333333333333,3.3548748873921e-05
148,4.515664988014761e-05
148.666666666667,5.25618576502679e-05
149.333333333333,3.979843395106376e-05
150,3.683674564838754e-05
150.666666666667,4.366267295508117e-05
151.333333333333,5.853300144939459e-05
152,4.232945926850981e-05
152.666666666667,5.051453367944599e-05
153.333333333333,3.101521911378849e-05
154,5.375883616331467e-05
154.666666666667,2.793477427650794e-05
155.333333333333,5.041413779698711e-05
156,5.514445090783727e-05
