x,i,t,s
-1.9358717434869739,0.022335577935218582,0.007068213565882806,2.0740320172737477e-27
-1.9158316633266534,0.02338912500567405,0.007401614193226682,5.649113076103785e-27
-1.8957915831663326,0.02449236684708633,0.00775074099767012,1.5386685586732374e-26
-1.8757515030060121,0.02564764751253917,0.008116335767397592,4.190925020538626e-26
-1.8557114228456917,0.02685742162177784,0.008499175280007218,1.1414968109130347e-25
-1.8356713426853708,0.028124259576528678,0.00890007295292687,3.109134529820839e-25
-1.8156312625250504,0.029450853021816662,0.009319880571677193,8.468457758363758e-25
-1.7955911823647295,0.030840020564897857,0.009759490099658468,2.306583266737105e-24
-1.775551102204409,0.03229471376393536,0.010219835573299514,6.282520995203588e-24
-1.7555110220440882,0.03381802339916811,0.010701895086602478,1.7111920746311976e-23
-1.7354709418837677,0.03541318603987188,0.011206692869293116,4.6608333159826875e-23
-1.7154308617234468,0.03708359092109021,0.011735301462999002,1.2694873662301493e-22
-1.6953907815631264,0.03883278714472047,0.01228884400007212,3.457746852888985e-22
-1.6753507014028055,0.04066449122028205,0.012868496589905201,9.417985256653898e-22
-1.655310621242485,0.042582594961360756,0.013475490817804124,2.5652093709647888e-21
-1.6352705410821646,0.04459117375453343,0.014111116361733313,6.986949902301533e-21
-1.6152304609218437,0.046694495218322835,0.01477672373248893,1.903059823881442e-20
-1.5951903807615233,0.04889702827058341,0.015473727143121369,5.183430171838795e-20
-1.5751503006012024,0.051203452623599606,0.016203607513710114,1.411828887834436e-19
-1.555110220440882,0.05361866872704049,0.016967915617865426,3.845447401516125e-19
-1.535070140280561,0.05614780817993342,0.017768275377652947,1.0473978713177849e-18
-1.5150300601202407,0.05879624463373973,0.018606387313930894,2.8528339781958225e-18
-1.4949899799599198,0.061569605209738934,0.01948403215944228,7.770363039700575e-18
-1.4749498997995993,0.06447378245493747,0.02040307464232676,2.1164407824014996e-17
-1.4549098196392785,0.06751494686194902,0.021365467448103713,5.764623303346937e-17
-1.434869739478958,0.0706995599794012,0.02237325536853126,1.5701304806545622e-16
-1.4148296593186376,0.07403438814076928,0.02342857964616964,4.276618950711264e-16
-1.3947895791583167,0.07752651684077147,0.02453368252387085,1.1648375644525105e-15
-1.3747494989979963,0.0811833657898834,0.02569091200886482,3.172708551305381e-15
-1.3547094188376754,0.08501270467897605,0.0269027268615783,8.641616529818645e-15
-1.334669338677355,0.08902266968752888,0.02817170181979059,2.3537471230286147e-14
-1.314629258517034,0.09322178077055059,0.029500533069296366,6.41098282948441e-14
-1.2945891783567136,0.09761895976087318,0.030892043972833017,1.746181670826981e-13
-1.2745490981963927,0.10222354932534862,0.032349191069892806,4.756135694996697e-13
-1.2545090180360723,0.10704533281515305,0.0338750703613447,1.2954452063689383e-12
-1.2344689378757514,0.11209455505245058,0.035472923895555154,3.528449124085532e-12
-1.214428857715431,0.11738194409750055,0.03714614667908195,9.610559489548944e-12
-1.1943887775551105,0.1229187340425374,0.0388982939514844,2.6176614839557015e-11
-1.1743486973947896,0.1287166888807906,0.040733088907033276,7.129815545116516e-11
-1.1543086172344692,0.13478812750138042,0.04265443106136384,1.9419726354595413e-10
-1.1342685370741483,0.14114594986322868,0.04466640576850516,5.289418348917664e-10
-1.1142284569138279,0.14780366440351753,0.04677329621255663,1.440697255924292e-09
-1.094188376753507,0.154775416739035,0.04897960137537514,3.924077178831101e-09
-1.0741482965931866,0.1620760197212761,0.051290069257129284,1.068814536996099e-08
-1.0541082164328657,0.16972098490927243,0.05370976991984651,2.911167294712833e-08
-1.0340681362725452,0.17772655552690292,0.056244273353958894,7.9292475209255e-08
-1.0140280561122244,0.18610974097483213,0.05890010390793469,2.1597167006613585e-07
-0.9939879759519039,0.19488835297027593,0.061685924519230655,5.882495425708498e-07
-0.9739478957915835,0.2040810433915075,0.06461564569862017,1.602235720216684e-06
-0.9539078156312626,0.21370734390740814,0.06771660712675469,4.364065107333488e-06
-0.9338677354709422,0.22378770747630664,0.07105111861972829,1.1886555779988235e-05
-0.9138276553106213,0.23434355180232136,0.07477316325475808,3.23758250245504e-05
-0.8937875751503008,0.2453973048414206,0.07927760059435887,8.81831596487336e-05
-0.87374749498998,0.25697245245404754,0.0855926039238766,0.00024018753621683823
-0.8537074148296595,0.26980777421394614,0.09641147167743076,0.0006542071386840155
-0.8336673346693386,0.28793531877701817,0.11701480030512579,0.0017651478160617068
-0.8136272545090182,0.30149013400840347,0.1461519301787205,0.0043998006880101
-0.7935871743486977,0.31314696241893614,0.18501849553990665,0.010030551366358763
-0.7735470941883769,0.3239494438644625,0.2356031516956006,0.021019078652555846
-0.7535070140280564,0.3338606846832253,0.2989520058196811,0.04068206616697791
-0.7334669338677355,0.34285785150405435,0.3744396801105688,0.07307055098333803
-0.7134268537074151,0.35093145432031453,0.4592739740202263,0.12235666109171309
-0.6933867735470942,0.3580843894040982,0.5484974293314958,0.19186718919331652
-0.6733466933867738,0.3643307993586069,0.6355984258794226,0.2829761808141756
-0.6533066132264529,0.3696948061994735,0.7136139939052255,0.3941935696570931
-0.6332665330661325,0.3742091698210716,0.7764093705266829,0.5207871954027581
-0.6132264529058116,0.37791391907464933,0.8197538858446883,0.65513227076115
-0.5931863727454911,0.38085499648169746,0.8419040003458198,0.7877504324987805
-0.5731462925851707,0.383082950809426,0.8435958438644435,0.9087794661224793
-0.5531062124248498,0.38465170476394955,0.8275456666691344,1.0094945954585077
-0.5330661322645294,0.385617418256616,0.7976785404950641,1.0835196021112898
-0.5130260521042085,0.38603746133675476,0.7583258266880525,1.127495138959812
-0.49298597194388805,0.3859695051505613,0.7135721264754346,1.1411474627308626
-0.47294589178356716,0.38547073430070206,0.6668385419150638,1.1268556953036253
-0.4529058116232467,0.3845971798025401,0.6207035013815022,1.0889068933234716
-0.43286573146292584,0.3834031684679741,0.5769084897827527,1.032646712684258
-0.4128256513026054,0.38194088196421294,0.5364769615500287,0.9636964000669708
-0.3927855711422845,0.38026001693112454,0.4998810819368391,0.8873424017101209
-0.3727454909819641,0.3784075363169755,0.4672097052501574,0.8081389599124507
-0.35270541082164364,0.3764275014178515,0.4383115665103586,0.7297131173574377
-0.33266533066132276,0.374360973887082,0.41290407581393945,0.6547315274525021
-0.3126252505010023,0.37224597712569174,0.39064851655615396,0.5849776110737727
-0.29258517034068143,0.3701175068875617,0.37119752930273847,0.5214902907258936
-0.272545090180361,0.3680075815564045,0.35422216556459707,0.46472550556141934
-0.2525050100200401,0.36594532330861534,0.3394251701473242,0.4147139089157098
-0.23246492985971967,0.3639570622102209,0.32654571345579214,0.3711993626658255
-0.2124248496993988,0.36206645616134303,0.3153592667882806,0.33375155064776607
-0.19238476953907835,0.3602946204620216,0.3056750281507731,0.30185191715484033
-0.17234468937875747,0.3586602616016621,0.2973323568795379,0.2749555512263115
-0.15230460921843703,0.357179810651956,0.29019703535448804,0.25253320443716576
-0.1322645290581166,0.35586755235735446,0.28415777507784085,0.23409798275728946
-0.1122244488977957,0.35473574666163427,0.2791231494639684,0.2192209136012687
-0.09218436873747526,0.3537947399815382,0.27501900758735115,0.2075389313343417
-0.07214428857715438,0.353053064040606,0.2717863595650706,0.1987580856331297
-0.05210420841683394,0.3525175205124545,0.2693796975105026,0.19265408873995812
-0.03206412825651306,0.3521932500993827,0.26776570911579467,0.1890717384989914
-0.012024048096192619,0.3520837849973678,0.2669223440831093,0.18792429767484573
0.00801603206412782,0.3521910839813268,0.26683820145392895,0.1891935647729867
0.028056112224448704,0.3525155495949286,0.26751221561457716,0.19293111322015183
0.04809619238476959,0.3530560271575895,0.2689536290530529,0.19926097457865422
0.06813627254508958,0.3538097855183501,0.27118225018139847,0.20838386511936235
0.08817635270541047,0.3547724797029929,0.27422900431619823,0.22058286905245356
0.10821643286573135,0.35593809582798064,0.27813679466018965,0.23623025844683526
0.12825651302605223,0.3572988789035207,0.2829616966975374,0.255794807649207
0.14829659318637223,0.3588452444289237,0.28877451148807304,0.27984850291391505
0.1683366733466931,0.36056567500684444,0.29566269658296823,0.30907090837334605
0.188376753507014,0.3624466035785594,0.303732670062383,0.34424858555229065
0.20841683366733488,0.36447228531904546,0.3131124308789039,0.38626585452311113
0.22845691382765487,0.3666246607354596,0.32395433754697134,0.4360818574330305
0.24849699398797576,0.3688832130912875,0.33643770849355686,0.49468745556753546
0.26853707414829664,0.37122482393352696,0.35077061281718686,0.5630342213097406
0.28857715430861663,0.3736236312313229,0.3671897655221453,0.6419271507676972
0.3086172344689375,0.37605089543614395,0.38595678794185545,0.7318734670123372
0.3286573146292584,0.3784748796353579,0.4073482349619001,0.8328830380288085
0.3486973947895793,0.3808607508755582,0.4316357960059991,0.9442227197172286
0.3687374749498993,0.3831705106536793,0.45905216182824765,1.0641384847788555
0.38877755511022016,0.3853629634785452,0.48973765394177216,1.1895760037673009
