x,i,t,m,s
-2.4168336673346693,2.158730362544851e-10,1.4160513875264098e-12,8.101482057455195e-38,7.461999810239385e-38
-2.396793587174349,2.789290502966236e-10,1.8296767189966786e-12,2.206506588946452e-37,2.0324508180474025e-37
-2.376753507014028,3.6040358003609226e-10,2.3641210520519197e-12,6.009605942682473e-37,5.53585691882926e-37
-2.3567134268537075,4.656766312605229e-10,3.0546753373020633e-12,1.636766680981064e-36,1.507820585552507e-36
-2.336673346693387,6.016996969908995e-10,3.946938930315243e-12,4.457871736427086e-36,4.106903324186274e-36
-2.3166332665330662,7.774547852636219e-10,5.099830652836904e-12,1.2141389022301902e-35,1.1186115295031557e-35
-2.2965931863727453,1.0045475278649922e-09,6.58947937801981e-12,3.3068096285087953e-35,3.046801093583952e-35
-2.276553106212425,1.2979735347534834e-09,8.514251046589676e-12,9.006374993278201e-35,8.298678012005799e-35
-2.2565130260521045,1.6771085988346336e-09,1.1001244062795314e-11,2.452962283030595e-34,2.2603397672389347e-34
-2.2364729458917836,2.166988137257608e-09,1.4214681980474237e-11,6.680850117565748e-34,6.1565659686645e-34
-2.2164328657314627,2.7999603545519787e-09,1.8366757673284424e-11,1.819586055175694e-33,1.6768852663605493e-33
-2.1963927855711423,3.6178222908890826e-09,2.3731645061952682e-11,4.955796723555332e-33,4.567390670138532e-33
-2.176352705410822,4.674579805094437e-09,3.0663603634608183e-11,1.3497532496159865e-32,1.2440360680694863e-32
-2.156312625250501,6.04001374230773e-09,3.962037125558696e-11,3.676167510025558e-32,3.3884242676593653e-32
-2.1362725450901805,7.804287770958022e-09,5.1193389959515886e-11,1.0012354462925286e-31,9.229168922312546e-32
-2.11623246492986,1.0083902158251235e-08,6.614686062986974e-11,2.7269498647943993e-31,2.5137808098457914e-31
-2.096192384769539,1.3029386629691595e-08,8.54682054587053e-11,7.427080033456854e-31,6.846872143245802e-31
-2.0761523046092183,1.6835240295055333e-08,1.1043327037402762e-10,2.0228285169814145e-30,1.8649063578789686e-30
-2.056112224448898,2.175277500372686e-08,1.4269057294522342e-10,5.509345955487017e-30,5.079510250659667e-30
-2.0360721442885774,2.8106710214391628e-08,1.8437015890661177e-10,1.500517395954068e-29,1.38352385778244e-29
-2.0160320641282565,3.631661518773822e-08,2.3822425541944547e-10,4.086787329882184e-29,3.768352007567374e-29
-1.995991983967936,4.6924614393999706e-08,3.0780900882606065e-10,1.1130714804260118e-28,1.0263991309624206e-28
-1.9759519038076152,6.06311856058951e-08,3.977193075812659e-10,3.0315454626841834e-28,2.7956389793864304e-28
-1.9559118236472948,7.83414145316127e-08,5.138921964181503e-10,8.256673841103045e-28,7.6145790339243985e-28
-1.9358717434869739,1.0122476031900974e-07,6.639989170893253e-10,2.248775941600136e-27,2.0740093514008738e-27
-1.9158316633266534,1.307922784251749e-07,8.579514633007477e-10,6.124734353343684e-27,5.649051340243675e-27
-1.8957915831663326,1.6899640010741808e-07,1.1085570991690185e-09,1.668124038800759e-26,1.53865174345309e-26
-1.8757515030060121,2.183598572724985e-07,1.4323640610042586e-09,4.543279323756234e-26,4.1908792203136055e-26
-1.8557114228456917,2.821422659758329e-07,1.8507542866258483e-09,1.2374012468140636e-25,1.141484336139629e-25
-1.8356713426853708,3.645553685750924e-07,2.3913553283810673e-09,3.370168955296174e-25,3.1091005518280677e-25
-1.8156312625250504,4.710411476184185e-07,3.0898646826867766e-09,9.178945932062475e-25,8.468365211272542e-25
-1.7955911823647295,6.086311761555597e-07,3.9924070020069785e-09,2.4999651995792246e-24,2.306558059350233e-24
-1.775551102204409,7.864109334426363e-07,5.158579842989772e-09,6.808871345764842e-24,6.282452336929801e-24
-1.7555110220440882,1.0161197461893838e-06,6.66538907058416e-09,1.8544550323837246e-23,1.71117337392818e-23
-1.7354709418837677,1.3129259712552917e-06,8.61233378458535e-09,5.0507689160958057e-23,4.6607823801997264e-23
-1.7154308617234468,1.6964286074167242e-06,1.1127976541452134e-08,1.375620707812457e-22,1.2694734926662387e-22
-1.6953907815631264,2.191951475611559e-06,1.4378432722701134e-08,3.746622390598057e-22,3.4577090649598876e-22
-1.6753507014028055,2.83221542623724e-06,1.85783396281558e-08,1.0204251577842764e-21,9.417882332301215e-22
-1.655310621242485,3.6594989943279024e-06,2.400502961593018e-08,2.779216656477231e-21,2.5651813370856532e-21
-1.6352705410821646,4.7284301771065356e-06,3.101684318378938e-08,7.569438491008724e-21,6.986873545408475e-21
-1.6152304609218437,6.109593683295595e-06,4.0076791259171606e-08,2.0616025288698605e-20,1.9030390262776324e-20
-1.5951903807615233,7.894191851598001e-06,5.1783129189333264e-08,5.61495430078421e-20,5.1833735246512624e-20
-1.5751503006012024,1.0200067012676106e-05,6.690886132324481e-08,1.5292818258010587e-19,1.4118134586345936e-19
-1.555110220440882,1.3179482969117348e-05,8.645278479040348e-08,4.1651326997093604e-19,3.845405376445147e-19
-1.535070140280561,1.702917942768363e-05,1.1170544304938508e-07,1.1344103265785739e-18,1.0473864247968499e-18
-1.5150300601202407,2.2003363307935435e-05,1.443343443155719e-07,3.0896658582789365e-18,2.8528028008917957e-18
-1.4949899799599198,2.843049478202994e-05,1.8649407209559598e-07,8.414975775823295e-18,7.770278120947401e-18
-1.4749498997995993,3.673497647786892e-05,2.4096855875792405e-07,2.2918924828555705e-17,2.1164176527728707e-17
-1.4549098196392785,4.7465178048275336e-05,3.113549168967402e-07,6.242170458325806e-17,5.764560304339026e-17
-1.434869739478958,6.132964665192394e-05,4.0230096745073806e-07,1.7001099990020963e-16,1.570113321386422e-16
-1.4148296593186376,7.924389443192046e-05,5.198121493547883e-07,4.630399185362034e-16,4.276572213390668e-16
-1.3947895791583167,0.00010239085250853127,6.716480771466166e-07,1.2611300039369512e-15,1.164824834439099e-15
-1.3747494989979963,0.00013229898344320278,8.678349331801394e-07,3.4347987587194768e-15,3.172673878106462e-15
-1.3547094188376754,0.00017094321017247988,1.121327531451624e-06,9.354977561132002e-15,8.641522089170081e-15
-1.334669338677355,0.0002208753260497806,1.4488647773855012e-06,2.5479107832836713e-14,2.353721399886892e-14
-1.314629258517034,0.00028539249735847123,1.8720750297501449e-06,6.939460329144151e-14,6.410912766431065e-14
-1.2945891783567136,0.00036875498501877125,2.4189044036036044e-06,1.8900234463518402e-13,1.7461625874992328e-13
-1.2745490981963927,0.0004764674623012169,3.1254624615504233e-06,5.147646318844597e-13,4.756083717045349e-13
-1.2545090180360723,0.0006156425047927125,4.03840752528925e-06,1.4020071296805053e-12,1.2954310489459718e-12
-1.2344689378757514,0.0007954702549401916,5.21803006212635e-06,3.8184908845005004e-12,3.5284105629995777e-12
-1.214428857715431,0.0010278252745197585,6.742240240609162e-06,1.0399999253047596e-11,9.610454459321838e-12
-1.1943887775551105,0.0013280506573071593,8.711729457933976e-06,2.8325323065328132e-11,2.61763287649217e-11
